year,month,ENSO,field_4,field_5,field_6
1912,MAY,-1,,,
1912,JUN,-0.6,,,
1912,JUL,-0.2,,,
1912,AUG,-1,,,
1912,SEP,-0.5,,,
1912,OCT,-0.8,,,
1912,NOV,0.1,,,
1912,DEC,-1.2,,,
1912,Annual_average,-0.991666667,,,
1913,JAN,-0.5,,,
1913,FEB,-0.8,,,
1913,MAR,-0.1,,,
1913,APR,-0.6,,,
1913,MAY,-0.6,,,
1913,JUN,-0.5,,,
1913,JUL,-0.2,,,
1913,AUG,-1,,,
1913,SEP,-1.1,,,
1913,OCT,-1.1,,,
1913,NOV,-1.2,,,
1913,DEC,-1,,,
1913,Annual_average,-0.725,,,
1914,JAN,-0.7,,,
1914,FEB,0.2,,,
1914,MAR,1,,,
1914,APR,,,,
1914,MAY,,,,
1914,JUN,,,,
1914,JUL,,,,
1914,AUG,,,,
1914,SEP,,,,
1914,OCT,,,,
1914,NOV,,,,
1914,DEC,,,,
1914,Annual_average,0.166666667,,,
1915,JAN,,,,
1915,FEB,,,,
1915,MAR,,,,
1915,APR,,,,
1915,MAY,,,,
1915,JUN,,,,
1915,JUL,,,,
1915,AUG,,,,
1915,SEP,,,,
1915,OCT,,,,
1915,NOV,-1.6,,,
1915,DEC,1,,,
1915,Annual_average,-0.3,,,
1916,JAN,0.6,,,
1916,FEB,-0.6,,,
1916,MAR,-1,,,
1916,APR,0,,,
1916,MAY,0.4,,,
1916,JUN,0.6,,,
1916,JUL,2.4,,,
1916,AUG,1.4,,,
1916,SEP,0.4,,,
1916,OCT,0.5,,,
1916,NOV,0.8,,,
1916,DEC,1.6,,,
1916,Annual_average,0.591666667,,,
1917,JAN,0.6,,,
1917,FEB,1.4,,,
1917,MAR,1.9,,,
1917,APR,1.7,,,
1917,MAY,1.8,,,
1917,JUN,1.6,,,
1917,JUL,2.6,,,
1917,AUG,3.3,,,
1917,SEP,3.2,,,
1917,OCT,1.5,,,
1917,NOV,1.9,,,
1917,DEC,2.6,,,
1917,Annual_average,2.008333333,,,
1918,JAN,1.8,,,
1918,FEB,2.1,,,
1918,MAR,-0.4,,,
1918,APR,1.4,,,
1918,MAY,0.9,,,
1918,JUN,-0.4,,,
1918,JUL,-1.5,,,
1918,AUG,-0.6,,,
1918,SEP,-0.8,,,
1918,OCT,-0.6,,,
1918,NOV,-0.1,,,
1918,DEC,-1.1,,,
1918,Annual_average,0.058333333,,,
1919,JAN,-2.2,,,
1919,FEB,-1.6,,,
1919,MAR,-1.7,,,
1919,APR,-0.2,,,
1919,MAY,-0.7,,,
1919,JUN,-0.9,,,
1919,JUL,-0.9,,,
1919,AUG,-0.9,,,
1919,SEP,-0.5,,,
1919,OCT,-1.2,,,
1919,NOV,-1.2,,,
1919,DEC,-1.3,,,
1919,Annual_average,-1.108333333,,,
1920,JAN,0.1,,,
1920,FEB,-0.5,,,
1920,MAR,-0.7,,,
1920,APR,-0.1,,,
1920,MAY,-0.2,,,
1920,JUN,0.3,,,
1920,JUL,0.8,,,
1920,AUG,0.3,,,
1920,SEP,0.6,,,
1920,OCT,-0.6,,,
1920,NOV,-0.1,,,
1920,DEC,1,,,
1920,Annual_average,0.075,,,
1921,JAN,1.5,,,
1921,FEB,0.7,,,
1921,MAR,,,,
1921,APR,,,,
1921,MAY,,,,
